username,followers,followings,has_biography,is_private,has_name,posts,has_profile_picture,bio_lenght,following_to_follower_ratio,following_to_post_ratio,follower_to_post_ratio,name_only_alphabet,LCSofNameAndUsername_to_name_ratio,number_in_username_ratio,is_fake
minaamini9025,353,777,0,1,1,21,1,0,2.201133144,37,16.80952381,1,1,0.307692308,0
elahe.shafiei71,108,114,1,0,1,14,1,8,1.055555556,8.142857143,7.714285714,0,0.142857143,0.133333333,0
elahe.z1252,65,130,0,1,1,24,1,0,2,5.416666667,2.708333333,1,1,0.363636364,0
mah.shakeri62,274,430,0,1,1,79,1,0,1.569343066,5.443037975,3.46835443,0,0.5,0.153846154,0
_nasrin_safrinchd,44,55,0,1,0,19,1,0,1.25,2.894736842,2.315789474,1,0,0,0
sa.mira1252,306,260,0,0,1,107,1,0,0.849673203,2.429906542,2.859813084,1,1,0.363636364,0
niloofar.tabib,45,176,0,1,1,5,1,0,3.911111111,35.2,9,0,0.363636364,0,0
tahereh_abdolazimi,387,524,1,1,1,5,1,127,1.354005168,104.8,77.4,0,0.166666667,0,0
sh._.gholamian,99,85,1,0,1,46,0,87,0.858585859,1.847826087,2.152173913,0,0.4,0,0
saghar_3883,52,31,1,0,1,3,1,3,0.596153846,10.33333333,17.33333333,0,0.857142857,0.363636364,0
fateme76mhz,355,96,1,1,1,2,1,79,0.270422535,48,177.5,0,0.352941176,0.181818182,0
armita__pour50,495,4316,1,1,1,184,1,86,8.719191919,23.45652174,2.690217391,0,0.428571429,0.142857143,0
ma.hdieh629,72,147,0,1,1,13,1,0,2.041666667,11.30769231,5.538461538,1,1,0.272727273,0
zahroudbel9ebla6,33,2557,0,0,1,0,0,0,77.48484848,1.00E+12,1.00E+12,0,1,0.125,1
gjplhdkswxvhitdww,66,2298,0,0,1,0,0,0,34.81818182,1.00E+12,1.00E+12,1,1,0,1
xxv648,14,1276,0,0,1,0,0,0,91.14285714,1.00E+12,1.00E+12,1,1,0.5,1
zez13377,40,3066,0,0,1,0,0,0,76.65,1.00E+12,1.00E+12,1,1,0.625,1
zozo1233541,12,1499,0,0,1,0,0,0,124.9166667,1.00E+12,1.00E+12,1,0.25,0.636363636,1
godagoda681,33,4709,0,0,1,0,0,0,142.6969697,1.00E+12,1.00E+12,1,1,0.272727273,1
benrahmoun33,48,4334,0,0,1,0,0,0,90.29166667,1.00E+12,1.00E+12,0,1,0.166666667,1
dfuioj2019,22,2830,0,0,0,0,0,0,128.6363636,1.00E+12,1.00E+12,1,0,0.4,1
empirez22,17,1039,0,0,1,0,0,0,61.11764706,1.00E+12,1.00E+12,0,1,0.222222222,1
abaabsahcm,13,558,0,0,1,0,0,0,42.92307692,1.00E+12,1.00E+12,1,0.2,0,1
razika20006,24,1850,0,0,1,0,0,0,77.08333333,1.00E+12,1.00E+12,1,1,0.454545455,1
lana12222p,31,2746,0,0,1,0,0,0,88.58064516,1.00E+12,1.00E+12,0,0.8,0.5,1
laylaabid2019,15,1446,0,0,1,0,1,0,96.4,1.00E+12,1.00E+12,1,1,0.307692308,1
rezaxd8,104,3778,0,1,1,4,0,0,36.32692308,944.5,26,1,1,0.142857143,1
djdddhjd,31,3184,0,0,1,1,1,0,102.7096774,3184,31,1,0.25,0,1
assq1m,60,3267,0,0,1,0,0,0,54.45,1.00E+12,1.00E+12,1,0,0.166666667,1
amiion1,30,1094,0,0,1,0,0,0,36.46666667,1.00E+12,1.00E+12,0,1,0.142857143,1
fddg156,46,3799,0,0,0,0,0,0,82.58695652,1.00E+12,1.00E+12,1,0,0.428571429,1
rami199917,20,1356,0,0,1,0,0,0,67.8,1.00E+12,1.00E+12,0,1,0.6,1
iiinnnsss01,32,3677,0,0,1,0,0,0,114.90625,1.00E+12,1.00E+12,1,0.2,0.181818182,1
mongaaz,33,2920,0,0,1,0,0,0,88.48484848,1.00E+12,1.00E+12,1,0.75,0,1
omahossam2003,25,1383,0,0,1,0,0,0,55.32,1.00E+12,1.00E+12,0,0.555555556,0.307692308,1
katko.t,20,1332,0,0,1,0,0,0,66.6,1.00E+12,1.00E+12,0,0.714285714,0,1
sagedmostafa2019,51,4404,0,0,1,0,0,0,86.35294118,1.00E+12,1.00E+12,0,1,0.25,1
amineoo0,48,3332,0,0,1,0,0,0,69.41666667,1.00E+12,1.00E+12,1,0,0.125,1
vb.u_,52,4575,0,0,1,0,1,0,87.98076923,1.00E+12,1.00E+12,0,0.25,0,1
chaima.mspb,43,2038,0,0,1,0,0,0,47.39534884,1.00E+12,1.00E+12,1,0.5,0,1
hh5849292,188,6915,0,0,1,0,0,0,36.78191489,1.00E+12,1.00E+12,1,0.166666667,0.777777778,1
aahhmmaadd9900,48,4455,0,0,1,0,0,0,92.8125,1.00E+12,1.00E+12,0,1,0.285714286,1
walidandkawther77,34,4722,0,0,1,0,0,0,138.8823529,1.00E+12,1.00E+12,0,0.142857143,0.117647059,1
3khykhthkh,38,3435,0,0,1,1,1,0,90.39473684,3435,38,0,0.909090909,0.1,1
viv95113,33,3784,0,0,1,0,1,0,114.6666667,1.00E+12,1.00E+12,0,1,0.625,1
manyyamamy,12,201,0,0,1,0,0,0,16.75,1.00E+12,1.00E+12,1,1,0,1
kamal.001.03,44,3202,0,0,1,0,0,0,72.77272727,1.00E+12,1.00E+12,0,0.416666667,0.416666667,1
memeyoyo127,32,2783,0,0,1,0,0,0,86.96875,1.00E+12,1.00E+12,1,0.25,0.272727273,1
asdfghjkllkjhgfdsa55555,85,6619,1,0,0,24,1,15,77.87058824,275.7916667,3.541666667,1,0,0.217391304,1
sattar.0015a,41,4243,0,0,1,0,0,0,103.4878049,1.00E+12,1.00E+12,0,0.5,0.333333333,1
sjoo.6666,53,5025,0,0,1,0,0,0,94.81132075,1.00E+12,1.00E+12,0,0.444444444,0.444444444,1
7x_n.x,36,3472,0,0,1,0,0,0,96.44444444,1.00E+12,1.00E+12,0,0.1,0.166666667,1
gbril6,37,3099,0,0,1,0,0,0,83.75675676,1.00E+12,1.00E+12,1,1,0.166666667,1
khatab15_,189,3057,0,0,1,0,0,0,16.17460317,1.00E+12,1.00E+12,1,1,0.222222222,1
saeedmohmed737,38,4506,0,0,1,0,0,0,118.5789474,1.00E+12,1.00E+12,1,0.166666667,0.214285714,1
mohdidi3,40,3696,0,0,1,0,0,0,92.4,1.00E+12,1.00E+12,0,1,0.125,1
ahmed.56g,278,3476,0,0,1,0,0,0,12.50359712,1.00E+12,1.00E+12,0,0.555555556,0.222222222,1
ayazshamsee,111,6506,0,0,1,0,0,0,58.61261261,1.00E+12,1.00E+12,1,0.2,0,1
weer_03,27,1352,0,0,1,0,0,0,50.07407407,1.00E+12,1.00E+12,0,0.571428571,0.285714286,1
metro.886,36,362,0,0,1,0,0,0,10.05555556,1.00E+12,1.00E+12,0,0.555555556,0.333333333,1
k3dingo,120,6101,0,0,1,23,0,0,50.84166667,265.2608696,5.217391304,1,0,0.142857143,1
206sdsd,9,469,0,0,0,0,0,0,52.11111111,1.00E+12,1.00E+12,1,0,0.428571429,1
a197a168,50,1316,0,0,1,5,0,0,26.32,263.2,10,0,0.166666667,0.75,1
akram591521,113,523,0,1,1,296,1,0,4.628318584,1.766891892,0.381756757,0,0.555555556,0.545454545,0
saheel3869,120,88,0,0,1,3,1,0,0.733333333,29.33333333,40,1,1,0.4,0
elaheomid6666,85,146,0,1,1,23,1,0,1.717647059,6.347826087,3.695652174,0,1,0.307692308,0
shakiba.7896,259,282,0,1,1,0,1,0,1.088803089,1.00E+12,1.00E+12,0,0.5,0.333333333,0
tahmine_193,82,92,0,0,1,20,1,0,1.12195122,4.6,4.1,0,0,0.272727273,0
zahedi_aref110,17,29,0,1,1,18,1,0,1.705882353,1.611111111,0.944444444,0,0.117647059,0.214285714,0
sahele__sorkhi23,33,114,1,1,1,22,1,13,3.454545455,5.181818182,1.5,0,0,0.125,0
abolfazlamini2368,402,283,1,0,1,564,1,6,0.7039801,0.50177305,0.712765957,1,1,0.235294118,0
ysna231,26,53,1,1,1,7,1,3,2.038461538,7.571428571,3.714285714,0,0,0.428571429,0
n6282_,24,161,0,0,1,1,1,0,6.708333333,161,24,0,0.066666667,0.666666667,0
hamidrezaie769,32,139,0,1,1,0,1,0,4.34375,1.00E+12,1.00E+12,0,0.375,0.214285714,0
sara96099,548,2275,0,0,1,7,1,0,4.151459854,325,78.28571429,0,0.125,0.555555556,0
msaddatyy,317,422,1,0,0,73,1,68,1.331230284,5.780821918,4.342465753,1,0,0,0
borhan_rostamii,667,1883,0,1,1,53,1,0,2.823088456,35.52830189,12.58490566,0,1,0,0
faran.gallery,1796,3551,1,0,1,104,1,100,1.977171492,34.14423077,17.26923077,0,0.538461538,0,0
ss.monaaa,216,4305,1,1,1,109,1,33,19.93055556,39.49541284,1.981651376,0,0.1,0,0
8335617golestani,14,162,0,1,1,1,1,0,11.57142857,162,14,0,0.45,0.4375,0
bardia95602,39,82,0,0,1,1,0,0,2.102564103,82,39,0,1,0.454545455,0
rainbow_basket_,632,1175,1,0,0,50,1,84,1.859177215,23.5,12.64,1,0,0,0
nazari.reyhaneh96,30,121,0,1,1,10,1,0,4.033333333,12.1,3,0,0.533333333,0.117647059,0
zahraghanimii,119,4575,0,1,1,636,1,0,38.44537815,7.193396226,0.187106918,0,1,0,0
my________god,1,211,0,1,1,0,1,0,211,1.00E+12,1.00E+12,0,1,0,0
